교육과정명,원본키워드,분야키워드,기술키워드,도구키워드,업무키워드,메타키워드
"[첫걸음] 데이터를 보는 눈, 파이썬으로 배우는 통계 기초","데이터 분석, 통계, 머신러닝, 파이썬, ","빅데이터, 인공지능","데이터분석, 머신러닝",Python,,기초/입문
"[AI 능력자] 바이브 코딩 with Cursor: 챗봇, DB 배포까지","AI 웹서비스, Cursor, 바이브 코딩, 프론트앤드, 백엔드, 데이터베이스, 클라우드, 풀스택 개발","웹개발, 인공지능, 클라우드","생성형AI, 데이터베이스",Cursor,"프론트엔드개발, 백엔드개발",실무프로젝트
AItopia - 인공지능이 만들어갈 세상,"인공지능, 4차 산업혁명, 빅데이터, 딥러닝, 데이터 마이닝, 클라우드, AI Speaker, Smart Home, AI Car, AI Store, 디지털 헬스케어, ","인공지능, 빅데이터, 헬스케어","딥러닝, 데이터마이닝",클라우드,,기초/입문
스마트제조와 미래산업,"4차 산업혁명, 스마트제조, 정보통신 네트워크, 빅데이터, 클라우드, 인공지능, 로봇, 자동화, 원격제어 시스템, 3D프린팅, 조선, 자동차, 반도체, 건설, 물류와 유통","스마트제조, 인공지능, 빅데이터, 클라우드","자동화, 로봇공학, 원격제어",,,
스마트제조 레시피,"4차 산업혁명, 스마트제조, 빅데이터 플랫품, 인공지능, 로봇, 모바일 오피스","스마트제조, 인공지능, 빅데이터",로봇공학,,,
스마트 모빌리티 레시피,"스마트 모빌리티, 자율주행차, 센싱 디바이스, 빅데이터&이미지 처리, 인공지능, SW, 대체 에너지, 전기차, ","스마트모빌리티, 인공지능, 빅데이터","자율주행, 이미지처리(CV)",,,
[왕초보] 비개발자도 할 수 있는 바이브 코딩 웹 개발,"웹개발, 코딩 입문자, 개발 기초, 비개발 직군 실무자, 바이브코딩, AI 기반 개발 보조도구, Windsurf, GitHub, Gemini, Netify, Claude, Three.js, Tripo3D","웹개발, 인공지능",생성형AI,"GitHub, Gemini, Claude",프론트엔드개발,비전공자/입문
"[첫걸음] 기본부터 탄탄하게, 파이썬 데이터 분석 첫 만남","Python, Pandas, Matplotlib, Seaborn, Coogle Colab, 데이터 분석, 결측치 처리, 조건부 조회, 그룹 분석, 시각화",빅데이터,"데이터분석, 데이터전처리, 데이터시각화","Python, Pandas, Matplotlib, Seaborn",,기초/입문
인공지능 레시피,"4차 산업혁명, 인공지능,",인공지능,,,,기초/입문
AI 인공지능 기술로 에듀테크를 내 손안에!,"인공지능, 머신러닝, 딥러닝, 에듀테크, 파이썬, 데이터처리, 시각화, ","인공지능, 에듀테크","머신러닝, 딥러닝, 데이터전처리, 데이터시각화",Python,,
4차 산업혁명 신기술과정,"4차 산업혁명, 인공지능,",인공지능,,,,기초/입문
인공지능 레시피,"인공지능, MS Azure, 텐서플로, R, 데이터 분석, 자율주행, HOME AI","인공지능, 빅데이터","데이터분석, 자율주행","R, Azure, TensorFlow",,기초/입문
Try it! 그림과 예제로 배우는 MLOps와 온디바이스 AI,"Python, pandas, NumPy, Colab, 챗봇, 생성형 AI, 머신러닝, 딥러닝, On-Device AI, 경량화 모델, 로컬 실행, AI 기반 제품·서비스 기획을 담당하는 기획자 및 PM, AI 응용 개발자 지망생",인공지능,"머신러닝, 딥러닝, 생성형AI, MLOps, 온디바이스AI","Python, Pandas, NumPy","서비스기획, PM",실무형인재
LLM API 활용부터 RAG까지 AI 챗봇 풀스택 실전 개발,"Python, JavaScript, HTML, CSS 기초, GitHub 활용, API 테스트, 챗봇 서비스 기획,","웹개발, 인공지능","LLM, RAG, 생성형AI, API","Python, JavaScript, HTML/CSS, GitHub","프론트엔드개발, 백엔드개발, 서비스기획",실무프로젝트
(AI 활용 소프트웨어 개발 및 응용)AI 활용 소프트웨어 개발 및 응용과정B,"파이썬, 판다스, SQL, 인공지능 구현, UI/UX 설계/ 애플리케이션 구현, 데이터베이스 구현, 데이터 수집 및 분석","웹개발, 인공지능, 빅데이터","데이터분석, 데이터수집, 데이터베이스","Python, Pandas, SQL","UI/UX기획, 시스템설계",실무형인재
국가공인 AICE 자격대비 인공지능활용능력향상을 위한 데이터 분석,"AICE 자격증, 빅데이터, 파이썬, 데이터 분석, 데이터 수집, 실무 활용, 그룹 집계, 시계열 분석","빅데이터, 인공지능","데이터분석, 데이터수집, 시계열분석",Python,,"AICE 자격증, 실무형인재"
트랜스포머와 자연어처리를 활용한 챗봇 시스템 구축,"인공지능, 자연어처리, 데이터 분석, 파이썬, 리눅스 시스템, 클라우드 기반 개발환경","인공지능, 클라우드","자연어처리(NLP), 데이터분석","Python, Linux",,실무형인재
[AI 활용 소프트웨어 개발 및 응용] 인공지능(AI)기반 응용SW개발자 양성과정,"머신러닝, 데이터 수집, 데이터 분석, 파이썬, SQL, 인터페이스, 인공지능, 데이터베이스, 화면설계","웹개발, 인공지능, 빅데이터","머신러닝, 데이터수집, 데이터분석","Python, SQL","시스템설계, UI/UX기획",실무형인재
랭체인을 활용한 AI 영상객체탐지분석 플랫폼 구축과정,"LangChain 프레임워크, 데이터분석, 파이썬, OpenCV API, NumPy, Pandas, GAN, CNN, AI·데이터 분석, AI 모델 서빙, 딥러닝 기반 객체 탐지","인공지능, 빅데이터","딥러닝, 컴퓨터비전, 데이터분석","LangChain, Python, OpenCV, Pandas, NumPy","데이터모델링, 시스템설계",실무프로젝트
[산대특]딥러닝과 자연어처리 기술을 활용한 AI 챗봇 풀스택 서비스 개발_특례,"SQL, 파이썬, HTML, CSS, 자바스크립트, 딥러닝, 트랜스포머, 자연어 처리, JSP 웹 프로그래밍, 스프링 프레임워크, AWS AI 서비스, 한국어 임베딩, 딥러닝 챗봇","웹개발, 인공지능, 클라우드","딥러닝, 자연어처리(NLP), 텍스트임베딩","Python, SQL, HTML/CSS, JavaScript, Spring, AWS","프론트엔드개발, 백엔드개발","K-Digital, 실무형인재"
데이터 기반 의사결정 역량 강화 과정,"SQL, Python, 시각화를 통한 데이터 분석, 3년차 수준의 IT 프로젝트 및 기획 경험이 있는 자,BigQuery, LookerStudio, Gemini AI, 고객 서비스 개선, 전략 기획 자동화, 마케팅 성과 최적화 프로젝트를 수행,클라우드 데이터 웨어하우스(BigQuery), 인공지능 기반 데이터 분석 도구(Gemini), 데이터 시각화 도구(LookerStudio)를 활용하여 고객 서비스 데이터 분석, 사업 포트폴리오 분석, 시장 동향 예측, 마케팅 성과 분석을 수행하고, 도출된 인사이트를 기반으로 기업의 데이터 기반 의사결정을 지원하며, 실질적인 성과를 창출할 수 있는 NCS 5수준에 도달할 수 있게 됨.","빅데이터, 마케팅, 인공지능","데이터분석, 데이터시각화, 생성형AI","SQL, Python, BigQuery, LookerStudio, Gemini","마케팅전략, 데이터엔지니어링","NCS 5수준, 재직자/경력직"
"Docker 실무 입문, 컨테이너 빌드부터 배포까지","Docker 컨테이너 기술의 개념과 기본 구조를 이해,Docker 이미지를 직접 빌드하고, 컨테이너를 실행 및 관리,",클라우드,"CI/CD, 컨테이너",Docker,시스템설계,기초/입문
"AI로 기업 해부하기, 투자 인사이트와 성장 전략 완전 정복",rtr,금융,,,,
심화_AI기반 지능형 솔루션 개발 과정,"머신러닝, 딥러닝, 인공지능, RPA 개발자, 쳇혰",인공지능,"머신러닝, 딥러닝, RPA",,백엔드개발,심화/고급
AI 기반 지능형 서비스 개발 전문가 과정,"프로그래밍 및 수학/통계의 기본기를 갖춘 자,Python, PyTorch, FastAPI, Docker 등의 현업 표준 기술스택을 활용하여 데이터 전처리부터 모델 학습, 성능 최적화, 서비스 배포까지 End-to-End로 구현하고, 개발된 AI 시스템이 실제 비즈니스 요구사항을 충족하는지 검증하며, 이를 통해 AI 엔지니어, MLOps 엔지니어 등의 직무에 취업",인공지능,"데이터전처리, MLOps, 성능최적화","Python, PyTorch, FastAPI, Docker","데이터엔지니어링, 시스템설계","실무형인재, 전공자우대"
[아이펠]딥러닝 개발자 도약 과정,"딥러닝,MultiModal AI",인공지능,"딥러닝, 멀티모달",,,실무형인재
(AI 활용 소프트웨어 개발 및 응용)AI 활용 소프트웨어 개발 및 응용과정A,"빅데이터, 파이썬, 판다스, SQL, 인공지능, 통계, 머신러닝, 응용SW 개발 및 인공지능 분야 구직 희망자 중 ""파이썬 프로그래밍 이수자""를 대상으로, 전공자, 관련 경력자 등 선발 우선 기준을 선정하여 훈련생을 선발,","빅데이터, 인공지능, 웹개발","머신러닝, 통계분석","Python, Pandas, SQL",하드웨어/SW개발,"전공자우대, 실무형인재"
융합_[한화오션엔지니어링] Ocean DX Academy,"컴퓨터, 조선관련학과, 산업공학, 기계공학, S/W분야 기초지식 및 학습 경험이 있는 자 우대,한화오션엔지니어링 조선설계 및 품질 분야 2년차 신입사원에 해당하는 직무기술 수준을 함양하여, 조선해양분야 설계 및 품질 전반에 대한 이해도를 갖춘 기술인력으로 성장,조선해양분야 DX기술 분야에 필요한 지식과 기술을 학습하여 한화오션엔지니어링 및 조선해양 관련기업 디지털전환에 기여할 수 있는 기술인력으로 성장,AI기반 조선해양빅데이터 분석 및 시각화(Power BI),DX 이론 교육,조선선박 및 LNG선박 개론,선박의장 설계 이해,선장.기장 생산설계 실무교육,AM MARINE DRAFTING USER GUIDE 교육,Ocean DX Engineering System Users Guide,조선 AI융합 로봇자동화활용(RPA)교육","제조/엔지니어링, 빅데이터","데이터분석, 데이터시각화, RPA",Power BI,"시스템설계, 품질관리","전공자우대, 재직자/경력직"
재직자_[아이펠]서비스 개발자를 위한 LLM 역량 강화 과정,"3년차 수준의 서비스 개발 경험 또는 데이터 분석 경험이 있는 자,  대학 학부생 수준의 컴퓨팅 언어를 이해할 수 있으며 3년차 수준의 IT 프로젝트 및 기획 경험이 있는 자,LangChain 활용 챗봇 애플리케이션,LLM, RAG, MRC 기술을 활용한 문서 이해 기반 생성형 AI 서비스 구축,검색형 RAG 시스템 구현",인공지능,"LLM, RAG, 생성형AI",LangChain,"데이터엔지니어링, 서비스기획","재직자/경력직, 심화/고급"
"Kubernetes 실무 마스터, 기초부터 CKA,CKAD까지 with On-premises","Kubernetes의 핵심 개념(파드, 디플로이먼트, 서비스 등)을 이해,쿠버네티스 클러스터를 설치하고 운영하는 방법을 실습,Oracle VirtualBox 기반 Kubernetes 환경 구성,Kubernetes, Pod의 생성, Lifecycle, 설계 패턴 이해 및 관리 실습,ConfigMap, Secret 및 Ambassador 패턴 실습, Secret 고급 활용과 etcd 기반 암호화 적용 실습,워크로드 리소스 이해 및 Deployment 실습,Job, CronJob, HPA를 활용한 자동화 워크로드 실습, Namespace,RBAC 구성과 네트워크 접근 제어 정책 실습,",클라우드,"컨테이너, CI/CD, 보안","Kubernetes, Oracle VirtualBox",시스템설계,실무형인재
13개 프로젝트를 통해 배우는 OpenAI API,"OpenAI API, GPT-4, DALL·E, TTS 등 다양한 OpenAI API를 활용하여 AI 기반 서비스를 구축, Streamlit 등 웹 개발 도구를 활용하여 OpenAI API를 연동한 웹 애플리케이션을 개발,GPT-4 Turbo & Assistant API로 챗봇 개발,소형 GPT를 활용한 금융 뉴스 감성 분석,GPTs 활용 및 ChatGPT 파인 튜닝 챗봇 개발,","인공지능, 웹개발","생성형AI, 파인튜닝, API","OpenAI API, Streamlit","프론트엔드개발, 시스템설계",실무프로젝트
제조 데이터를 활용한 AI 이해와 예측 모델 구축,"AI 기초 수학 역량과 AI 모델 · API 활용을 바탕으로 개발자로의 진입을 희망하는 비전공자 및 입문자를 대상,제조 산업에 관심이 있거나 공공 데이터를 기반으로 한 실습을 통해 문제 정의 및 분석 과정을 이해하고자 하는 훈련생, AI 기술 개발 산업 분야로의 진입 또는 개발자로의 직무 전환을 희망하는 훈련생을 중심으로 모집,Python과 Pandas·NumPy를 활용한 데이터 불러오기·정리·가공,평균, 분산, 비율, 변화 등을 활용한 데이터 해석과 가설검정 이해, 머신러닝·딥러닝 구조 이해,주요 신경망(CNN, RNN) 개념 이해,AI 허브·Kaggle 데이터 탐색 및 문제 해결 목적에 맞는 데이터 선택,Streamlit·FastAPI를 활용한 분석 결과·예측 결과 표현","인공지능, 빅데이터, 제조/엔지니어링","데이터전처리, 머신러닝, 딥러닝, 통계분석","Python, Pandas, NumPy, Streamlit, FastAPI",데이터모델링,"비전공자/입문, 직무전환"
재직자_금융데이터를 활용한 AI 개발 심화 교육,"컴퓨터 과학, 정보 기술, 수학, 통계학, 금융공학 등 AI 및 데이터 과학 관련 전공 우대,프로그래밍(특히 Python)에 대한 중급 이상 실력, 데이터 분석, 기계학습 기초 지식 필요,데이터 분석, 머신러닝 관련 자격증 소지자 우대 (예: ADsP, SQLP, TensorFlow Developer 등),AWS, Azure, GCP 등 클라우드 관련 자격증 소지자 우대,금융, IT, 데이터 분석 등 관련 분야에서 1년 이상의 실무 경험,AI 프로젝트 참여 경험, 데이터 분석 및 처리 경험 우대,실시간 시스템, 클라우드 기반 서비스 개발 경험 우대","금융, 인공지능, 빅데이터","데이터분석, 머신러닝","Python, AWS, Azure, GCP","데이터모델링, 백엔드개발","재직자/경력직, 전공자우대, 자격증"
"혁신의 시대, 인공지능 서비스로 미래의 중심에 서다!","인공지능 서비스, 인공지능 플랫폼 인프라, 품질 관리, 로봇 개발","인공지능, 임베디드/로봇","인공지능, 로봇공학",,,실무형인재
당장 시작해야 하는 ChatGPT와 AI 스마트워크,"ChatGPT, 인공지능 기술, AI 스마트워크, 보고서, 업무자동화, 콘텐츠 개발, 챗봇 개발, 솔루션 플랫폼, AI 도구, AI 휴먼 챗봇, 이미지 제작, 비디오 제작","인공지능, 디지털마케팅","생성형AI, 업무자동화",ChatGPT,"마케팅전략, 서비스기획",기초/입문
"디지털 트랜스포메이션의 핵심 인공지능, 쉽게 이해하기","인공지능 서비스 기획, 인공지능 콘텐츠 개발, 머신러닝, 딥러닝, AI 서비스 디지털 콘텐츠 적용, AI 서비스 영화산업 적용, AI 서비스 음악산업 적용, AI 얼굴인식 서비스, AI 이미지 인식 서비스","인공지능, 미디어","머신러닝, 딥러닝, 컴퓨터비전",,서비스기획,기초/입문
[AI 김현욱 아나운서] 10분이면 따라하는 직장인 ChatGPT 바이블,"ChatGPT, 인공지능, 챗봇, 프롬프트 엔지니어링, 달리, 스테이블 디퓨전, 미드저니, 플레이그라운드 AI",인공지능,"생성형AI, 프롬프트엔지니어링","ChatGPT, Midjourney",업무자동화,비전공자/입문
디지털 혁명과 휴먼케어,"휴먼케어, 4차 산업혁명, 스마트 디바이스, 빅데이터, 인공지능, AR, VR, 원격 진료, 원격 치료, 로봇 수술, 나노 치료, 유전자 치료, ","바이오헬스, 인공지능","빅데이터, AR/VR, 로봇공학",,,기초/입문
ChatGPT를 활용한 프리젠테이션&기획서 순삭하기,"영업제안서 작성, 핵심 스킬, 심화 과정, 제안요청서(RFP) 분석, 수주전략 수립, 목표 지향적인 제안서, ChatGPT, 인공지능 도구, 프레젠테이션, 영업 실무, 마케팅 실무, 인공지능 기술, 전략적인 문서 작성 방법, 프로세스, 실무 적용","인공지능, 영업/기획","생성형AI, 업무자동화",ChatGPT,"영업/제안, 서비스기획",실무형인재
누구나 쉽게 배우는 인공지능,"인공지능, 개념과 특성, 사회적 변화, 학습방법, 기계학습, 딥러닝, 지도학습, 비지도학습, 탐색 알고리즘, 표현, 추론, 실생활 적용 사례, 윤리적 쟁점 사례, 기본적인 지식, 알고리즘, 모델, 실제 문제 적용",인공지능,"머신러닝, 딥러닝",,,기초/입문
[GPT] AI가 여는 새로운 세상,"인공지능 개념, 현재 트렌드, 최신 트렌드, 생성형 AI, 대화형 AI, 사례, 툴 실습, 업무, 실생활, AI 발전, 긍정적·부정적 영향, 활용 능력, 미래에 대한 대응력",인공지능,생성형AI,,,기초/입문
파이썬 및 프롬프트 활용을 통한  AI 기초 이해,"파이썬(Python) 프로그래밍, 실습, 파이썬(Python), 기본 개념, 프로그래밍 능력, 챗GPT, 기본 원리, 작동 방식, 상호작용 방법, 프롬프트 활용",인공지능,"생성형AI, 프롬프트엔지니어링","Python, ChatGPT",,기초/입문
챗GPT가 바꾸는 비즈니스의 미래,"인공지능, AI기술, 생성형 AI, 현업 사례, AI 패러다임, 빅데이터, 학습기반 AI, 강화학습, 전이 학습, 인공신경망, 딥러닝, 기본원리, 이미지 인식, 자연어 처리, 이미지 생성, 초거대 AI모델, ChatGPT, 창작 영역, 문제해결 영역, 전문영역, 글로벌 기업, 한국 기업, 강인공지능(AGI), 업무 자동화 기술, RPA, 협업, 초자동화(HyperAutomation), AI-RPA, AI 협동로봇, 인공지능 반도체, 메타버스, 비즈니스 활용, 데이터, 인적자원 활용","인공지능, 경영/비즈니스","생성형AI, 머신러닝, 딥러닝, 컴퓨터비전, 자연어처리(NLP), RPA",ChatGPT,"마케팅전략, 서비스기획",기초/입문
[ChatGPT] 영업제안서 10분만에 생성하고 칼퇴하기,"영업제안서, 기초 지식, 작성 절차, 작성 방법, ChatGPT, 인공지능 서비스, 유지·보수 전략, 관련 법규, 기초 스킬, 작성 프로세스, 핵심 키워드, 성공 비결, 제안요청서 분석 노하우, 계약의 성공, ChatGPT 사용법, 프레젠테이션 사용 전략, 인공지능 사용 전략, 디자인, 동영상 영업제안서 제작, 성공 관리 전략, 준수 전략","인공지능, 영업/기획","생성형AI, 업무자동화",ChatGPT,영업/제안,비전공자/입문
Chat GPT를 활용한 컴맹도 쉬운 AI,"AI툴, CHAT GPT, SUNO, CAPCUT, 기능, 역할, 활용 방법, 스크립트, 대본, 영상 편집, AI 아바타, 영상 제작, 실습, 인공지능, 개념이해, 사회적 변화, 산업적용, 윤리문제, 인공지능시대, 기본소양, 생성형 AI기술, D-ID, Udio, 코파일럿, 최신 생성형 AI도구, 디지털 창작활동, 시, 영상, 음악, 아바타, 챗봇, PPT, 역량 강화, 일상, 업무 적용, AI활용 능력","미디어, 인공지능","생성형AI, 미디어제작","ChatGPT, CapCut",콘텐츠제작,비전공자/입문
"의료서비스의 미래, 인공지능을 더하다","인공지능, 등장 배경, 전망, 의료 분야, 기술 발전 동향, 변화의 방향, 보건∙의료 분야, 인공지능 사례, 실제 업무, 응용, 개선점 도출, 의료 서비스, 미래","바이오헬스, 인공지능",,,,기초/입문
쉽게 배우고 적용하는 디지털 융합 AI 서비스,"인공지능, 등장 배경, 전망, 기술 발전 동향, 변화의 방향, 인공지능 기술, 발전 현황, 기능 구현 방법, 산업별 활용 가능성, 윤리적 이슈, 대응 현황, 블록체인, 기초 지식","인공지능, 보안/블록체인",블록체인,,,기초/입문
일잘러의 AI 비밀레시피: 인공지능 툴로 업무를 더 멋있게,"AI 기반 툴, 업무 생산성, 업무 효율성, ChatGPT, AI 도구, 실무 적용, 자동화 기술, 문서 작성, 데이터 분석, 마케팅, 업무 최적화, 인공지능 툴, 업무 능력 강화","인공지능, 직무공통","생성형AI, 데이터분석, 업무자동화",ChatGPT,"업무자동화, 마케팅전략",실무형인재
IT 마케팅에서의 챗GPT 활용: 전략 개발부터 실무 적용까지,"챗GPT, 기업 운영, 업무 체계 개선, 업무 효율성, 수행 능력 향상, 고객 관리, 고객 대응 서비스, 고객 만족도, 실무 활용, 산업별 적용","디지털마케팅, 인공지능",생성형AI,ChatGPT,"마케팅전략, CS/고객관리",실무형인재
ChatGPT 마스터 클래스 : 남들보다 100배 더 잘 쓰기 위한 활용법 A to Z,"ChatGPT, 생성형 AI, 언어모델, 인공신경망, 파라미터, 생성 AI 마켓, 구글 스프레드시트, 연동 서비스, 생산성 향상, 비즈니스 활용, ChatGPT API, 플러그인, 대량 작업 자동화, 프롬프트 엔지니어링, 지시 프롬프트, 맥락 프롬프트, 미세 조정(Fine-tuning), 업무 효율화","인공지능, 직무공통","생성형AI, 프롬프트엔지니어링, 파인튜닝, API",ChatGPT,업무자동화,실무형인재
200% 활용하는 챗 GPT 질문법,"챗 GPT, 질문법, 확장 프로그램, 프롬프트 엔지니어링, 프롬프트 지니, AIPRM, YouTube Summary, 구글 연동, PDF 분석, SNS 콘텐츠 제작, 고객 후기 분석, 스마트폰 앱, ChatGPT API, GPTs, MyGPTs, 실무 활용, 최적화 환경","인공지능, 디지털마케팅","생성형AI, 프롬프트엔지니어링, 데이터분석",ChatGPT,"콘텐츠제작, 업무자동화",실무형인재
실전에 필요한 내용만 모았다! ChatGPT&AI 툴 활용 가이드,"ChatGPT, 인공지능 도구, 업무 효율성, 실무 활용, 데이터 수집, 데이터 분석, 번역, 제목 작성, 업무 생산성, 확장 프로그램, 클라우드 서비스, 협업 효율, 정보 보안, 보안 관리 전략, 가상 작업 환경, 정보 보호","인공지능, 직무공통","생성형AI, 데이터수집, 데이터분석, 정보보안","ChatGPT, 클라우드",업무자동화,실무형인재
파이썬으로 이해하는 딥러닝의 세계,"딥러닝, 파이썬(Python), 개발환경 구축, 통계학, 머신러닝, 퍼셉트론, FNN, CNN, LSTM, 분류, 회귀, 파라미터, Loss 그래프, 결과 해석, 실전 활용",인공지능,"딥러닝, 머신러닝, 데이터분석",Python,데이터모델링,기초/입문
[AI 능력자] AI로 시작하는 콘텐츠 크리에이터,"AI 콘텐츠 크리에이터, 생성형 AI, GPT, 업무 효율화, 콘텐츠 제작, 기획서 작성, 문서 자동화, 비개발자 실무 AI, AI 도구 활용, 초급 교육, 반복 업무 개선","미디어, 인공지능","생성형AI, 업무자동화",,콘텐츠제작,비전공자/입문
인공지능 데이터로 미래를 탐구하다,"디지털 전환, 인공지능(AI), 머신러닝(ML), 딥러닝(DL), 생성형 AI, 기업 동향, 새로운 역량, DX, AI 시대",인공지능,"머신러닝, 딥러닝, 생성형AI",,,기초/입문
생성형 AI를 활용한 15초 광고 만들기,"생성형 AI, 15초 광고, 광고 기획, 영상 제작, 비주얼 후킹, 프롬프트 엔지니어링, 콘텐츠 마케팅, 디자인 자동화, 직무 전환, 실무 활용, 이미지 생성, 동영상 생성, AI 도구, 업무 효율화, 초급 과정","디지털마케팅, 인공지능","생성형AI, 프롬프트엔지니어링",,"콘텐츠제작, 마케팅전략","직무전환, 비전공자/입문"
AI레볼루션 A부터 Z까지_산업편,"디지털 전환(DX), 인공지능(AI), 빅데이터, 로봇공학, 클라우드 컴퓨팅, IoT, VR/AR, 블록체인, 사이버 보안, 3D 프린팅, 디지털 헬스케어, 자율주행, 스마트시티, 기술 윤리, 그린 기술, 디지털 경제, 4차 산업혁명, RPA, 5G, 퀀트 트레이딩, 바이오인포매틱스, 게임이론, 디지털 마케팅, 미래 모빌리티, AI 레볼루션, 부의 미래","IT공통, 인공지능","빅데이터, 로봇공학, 클라우드, 블록체인, 자율주행, RPA",,,기초/입문
"AI시대, ChatGPT 마스터 클래스_기초부터 고급실무까지","ChatGPT, 역사와 배경, 생성형 AI(GAI), 채팅 방식, 활용법, AI 프레젠테이션, 인공지능 도구",인공지능,생성형AI,ChatGPT,서비스기획,심화/고급
[첫걸음] 일상부터 업무까지: ChatGPT와 친해지기,"ChatGPT, 생성형 AI, 초급 가이드, 프롬프트 엔지니어링, 기획서 작성, 콘텐츠 제작, 문서 중심 업무, 비개발자 자동화, 실무 적용, 일상 활용, 업무 효율화, 기초 사용법, 비즈니스 커뮤니케이션.","인공지능, 직무공통","생성형AI, 프롬프트엔지니어링",ChatGPT,"업무자동화, 콘텐츠제작",비전공자/입문
상위 1% 일잘러를 위한 고급 프롬프트 엔지니어링,"고급 프롬프트 엔지니어링, AI 솔루션 기획, NLP(자연어 처리), 의사결정 지원 시스템, 전문 분야(법률·의료·금융) 효율화, 교육 콘텐츠 개발, 업무 고도화, 제품 관리(PM), 중급 AI 리터러시, 실무 최적화.",인공지능,"프롬프트엔지니어링, 자연어처리(NLP)",,"서비스기획, PM",심화/고급
얼레벌레 배워서 한땀한땀 써먹는 AI광고콘텐츠제작,"AI 광고, 전통 광고 비교, 법적·윤리적 이슈, 생성형 AI, 프롬프트 엔지니어링, STP 전략, 타깃 페르소나, 시장·경쟁사 분석, 카피라이팅, 비주얼 제작, 랜딩페이지, 광고 자동화, A/B 테스트, 데이터 분석, 캠페인 최적화, SEO/AEO, 콘텐츠 확장, 워크플로우.","디지털마케팅, 인공지능","생성형AI, 프롬프트엔지니어링, 데이터분석",,"마케팅전략, 콘텐츠제작",실무프로젝트
용도별 생성형 AI 추천과 활용 전략 총정리,"생성형 AI, 기존 AI 비교, 기업 실무 적용, 산업 구조 변화, 조직 전략, 도입 리스크, 업무 자동화, 성능 검증, 품질 평가, 비용 분석, API 연동, 시스템 통합, 도구별 활용(텍스트·이미지·영상·코딩·데이터).",인공지능,"생성형AI, 자동화, API",,"서비스기획, 시스템설계",실무형인재
남들보다 빠르게 일하는 사람들의 핵심 AI툴 사용법 공개!,"ChatGPT, Claude, Gemini, Notebook LM, Clova Note, Tactiq, Notion, Gamma, Canva, Framer, Tyle, 프롬프트 엔지니어링, 문서 작성, 정보 검색, 지식 관리, 회의록 자동화, 업무 정리, 프레젠테이션, 실무 디자인, 웹사이트 구축, 생산성 향상.","인공지능, 직무공통","생성형AI, 프롬프트엔지니어링","ChatGPT, Claude, Gemini, Notion, Canva","업무자동화, 디자인기획",실무형인재
인공지능 GPT와 클라우드를 활용한 스마트워크,"인공지능(AI) 개념·발달, GPT 모델, 자연어 처리(NLP), 챗봇, 실무 활용, 업무 효율화, AI 플랫폼, 클라우드, 인공지능 보안.","인공지능, 클라우드","생성형AI, 자연어처리(NLP), 보안",클라우드,업무자동화,실무형인재
